infrastructure_key,road_quality,access_to_water,access_to_electricity,mobile_network_coverage,internet_coverage
616,Poor,Moderate,No Access,3G,Full Access
617,Good,Limited,Partial Access,5G,No Access
618,Poor,Moderate,No Access,4G,No Access
619,Fair,Moderate,No Access,2G,Full Access
620,Excellent,High,No Access,3G,Limited Access
621,Good,High,Partial Access,4G,No Access
622,Excellent,High,Full Access,3G,No Access
623,Fair,Limited,Partial Access,3G,Limited Access
624,Excellent,Moderate,Full Access,2G,Full Access
625,Fair,Moderate,Full Access,4G,No Access
626,Good,Moderate,Full Access,3G,Limited Access
627,Poor,Limited,Partial Access,2G,Full Access
628,Poor,Limited,Partial Access,5G,Full Access
629,Fair,High,Partial Access,2G,Full Access
630,Good,Moderate,No Access,4G,No Access
631,Excellent,High,Full Access,3G,No Access
632,Good,Limited,No Access,5G,Full Access
633,Fair,Moderate,Full Access,5G,No Access
634,Good,High,Partial Access,2G,No Access
635,Fair,High,Partial Access,3G,Limited Access
636,Fair,Limited,No Access,5G,No Access
637,Excellent,Moderate,Full Access,5G,Full Access
638,Excellent,High,Partial Access,5G,No Access
639,Excellent,Limited,No Access,3G,No Access
640,Poor,Limited,Full Access,4G,Full Access
641,Good,Moderate,Partial Access,4G,No Access
642,Good,Moderate,Partial Access,3G,Full Access
643,Fair,Limited,No Access,4G,No Access
644,Good,Moderate,No Access,3G,No Access
645,Good,High,Full Access,4G,Limited Access
646,Excellent,Limited,Partial Access,2G,Full Access
647,Poor,Moderate,No Access,3G,Full Access
648,Good,Moderate,Partial Access,2G,No Access
649,Excellent,High,Full Access,3G,Limited Access
650,Excellent,High,Full Access,2G,No Access
651,Poor,High,No Access,2G,No Access
652,Poor,Limited,Partial Access,3G,Full Access
653,Excellent,Moderate,Full Access,3G,Limited Access
654,Poor,Limited,No Access,5G,Limited Access
655,Poor,Limited,Partial Access,5G,No Access
656,Poor,High,No Access,4G,Full Access
657,Fair,Limited,Full Access,4G,Limited Access
658,Good,High,Partial Access,5G,No Access
659,Fair,High,Full Access,4G,Full Access
660,Fair,High,Partial Access,3G,No Access
661,Excellent,Moderate,Partial Access,2G,No Access
662,Fair,Moderate,Full Access,2G,Limited Access
663,Good,Moderate,No Access,5G,Limited Access
664,Fair,Limited,Partial Access,5G,Full Access
665,Poor,High,No Access,2G,Full Access
666,Excellent,Limited,No Access,2G,Full Access
667,Fair,Moderate,Partial Access,3G,No Access
668,Fair,High,No Access,2G,No Access
669,Good,Limited,No Access,2G,Full Access
670,Poor,Moderate,Partial Access,4G,Full Access
671,Good,High,Full Access,3G,No Access
672,Poor,Moderate,Partial Access,2G,No Access
673,Good,Limited,Full Access,3G,No Access
674,Good,High,Full Access,2G,No Access
675,Excellent,Moderate,Full Access,5G,No Access
676,Excellent,Moderate,Full Access,4G,Full Access
677,Fair,Limited,No Access,2G,Full Access
678,Poor,High,Partial Access,5G,Limited Access
679,Good,High,No Access,5G,No Access
680,Fair,High,Partial Access,2G,Limited Access
681,Excellent,Moderate,No Access,3G,No Access
682,Poor,High,No Access,2G,No Access
683,Excellent,Moderate,No Access,4G,Limited Access
684,Poor,High,Partial Access,3G,Limited Access
685,Poor,High,Full Access,2G,Full Access
686,Good,Limited,No Access,5G,No Access
687,Good,Limited,Partial Access,3G,Full Access
688,Fair,High,Partial Access,4G,Full Access
689,Poor,Moderate,No Access,2G,Limited Access
690,Poor,Moderate,Partial Access,2G,Limited Access
691,Good,Moderate,Partial Access,2G,No Access
692,Good,Moderate,Full Access,5G,Full Access
693,Poor,Limited,Full Access,5G,Limited Access
694,Fair,Moderate,No Access,3G,No Access
695,Excellent,Limited,No Access,4G,Full Access
696,Good,Moderate,Full Access,2G,Full Access
697,Good,Moderate,Partial Access,3G,No Access
698,Poor,Moderate,Partial Access,2G,Limited Access
699,Excellent,Moderate,Full Access,2G,Limited Access
700,Fair,Moderate,Partial Access,4G,Limited Access
701,Fair,Moderate,Full Access,3G,Limited Access
702,Excellent,Limited,Full Access,2G,Full Access
703,Excellent,Moderate,No Access,5G,No Access
704,Excellent,Limited,Partial Access,2G,Limited Access
705,Good,Limited,No Access,4G,Full Access
706,Poor,High,Full Access,3G,Full Access
707,Good,Moderate,No Access,3G,Limited Access
708,Fair,Limited,Full Access,2G,Full Access
709,Poor,Limited,Partial Access,3G,Full Access
710,Fair,Moderate,Partial Access,4G,Limited Access
711,Excellent,Limited,No Access,3G,Full Access
712,Good,Limited,Full Access,4G,Limited Access
713,Poor,Limited,No Access,2G,Limited Access
714,Poor,Limited,No Access,2G,Limited Access
715,Poor,Moderate,No Access,5G,Limited Access
716,Poor,Limited,Partial Access,3G,No Access
717,Poor,High,Partial Access,5G,Limited Access
718,Poor,High,Full Access,4G,Limited Access
719,Poor,Moderate,Partial Access,3G,Limited Access
720,Excellent,Limited,Full Access,3G,Limited Access
721,Fair,High,No Access,3G,No Access
722,Fair,Moderate,Partial Access,2G,Limited Access
723,Fair,High,Partial Access,5G,No Access
724,Good,Limited,No Access,4G,Full Access
725,Good,High,No Access,5G,No Access
726,Fair,Limited,No Access,2G,No Access
727,Fair,Moderate,No Access,3G,Full Access
728,Excellent,High,No Access,5G,No Access
729,Good,Moderate,No Access,3G,Limited Access
730,Good,High,No Access,2G,No Access
731,Good,Limited,No Access,2G,Full Access
732,Poor,Limited,Partial Access,4G,No Access
733,Poor,High,No Access,5G,Full Access
734,Excellent,Moderate,Full Access,4G,Limited Access
735,Good,High,Partial Access,4G,No Access
736,Good,High,Partial Access,4G,Full Access
737,Poor,Moderate,No Access,2G,Full Access
738,Excellent,Limited,Partial Access,5G,Limited Access
739,Poor,Moderate,Full Access,2G,Limited Access
740,Good,High,No Access,4G,Full Access
741,Good,Limited,No Access,4G,No Access
742,Fair,Limited,Full Access,5G,Limited Access
743,Excellent,High,Full Access,5G,Limited Access
744,Poor,Moderate,Partial Access,3G,Limited Access
745,Fair,Limited,No Access,4G,No Access
746,Good,Moderate,No Access,2G,Full Access
747,Good,High,Partial Access,5G,No Access
748,Good,Moderate,Partial Access,3G,Limited Access
749,Fair,Moderate,Full Access,4G,Full Access
750,Poor,Moderate,Partial Access,3G,No Access
751,Good,Limited,Full Access,2G,Full Access
752,Good,High,Full Access,5G,No Access
753,Poor,Moderate,Partial Access,4G,No Access
754,Poor,Moderate,Full Access,2G,No Access
755,Poor,High,No Access,3G,Limited Access
756,Poor,Limited,Full Access,3G,No Access
757,Poor,Moderate,Partial Access,5G,No Access
758,Excellent,Moderate,No Access,3G,Full Access
759,Good,Moderate,Full Access,3G,No Access
760,Excellent,Limited,Full Access,2G,No Access
761,Poor,High,No Access,4G,No Access
762,Fair,Moderate,No Access,4G,Full Access
763,Fair,Moderate,Partial Access,5G,Limited Access
764,Fair,Moderate,No Access,4G,No Access
765,Poor,High,Full Access,2G,Full Access
766,Excellent,High,Full Access,3G,Full Access
767,Excellent,Limited,Partial Access,5G,No Access
768,Fair,Moderate,Partial Access,2G,No Access
769,Excellent,Moderate,Full Access,3G,No Access
770,Excellent,Limited,Partial Access,5G,No Access
771,Good,Moderate,No Access,5G,No Access
772,Poor,Limited,No Access,2G,Limited Access
773,Fair,High,No Access,4G,Full Access
774,Poor,Moderate,Full Access,4G,No Access
775,Excellent,Limited,Full Access,3G,Limited Access
776,Good,High,Full Access,4G,Limited Access
777,Poor,High,No Access,3G,Limited Access
778,Good,High,Full Access,2G,No Access
779,Poor,Limited,Partial Access,5G,Full Access
780,Excellent,High,Partial Access,2G,Full Access
781,Good,Limited,Partial Access,3G,Limited Access
782,Poor,High,Partial Access,5G,Full Access
783,Poor,Limited,Full Access,5G,Full Access
784,Poor,Limited,No Access,5G,No Access
785,Excellent,Moderate,Full Access,3G,No Access
786,Excellent,High,Full Access,2G,Full Access
787,Poor,High,No Access,5G,Full Access
788,Poor,High,No Access,5G,Full Access
789,Poor,Moderate,No Access,3G,Full Access
790,Excellent,Limited,No Access,5G,No Access
791,Excellent,Moderate,Partial Access,3G,Full Access
792,Good,Moderate,No Access,5G,Limited Access
793,Poor,Limited,Partial Access,4G,Limited Access
794,Poor,High,No Access,2G,Limited Access
795,Good,High,Full Access,2G,No Access
796,Fair,High,Partial Access,3G,Full Access
797,Poor,Limited,No Access,2G,No Access
798,Excellent,Moderate,No Access,3G,Limited Access
799,Good,Moderate,Full Access,3G,No Access
800,Fair,Moderate,No Access,4G,Limited Access
801,Excellent,High,Partial Access,4G,No Access
802,Good,Moderate,Partial Access,3G,Full Access
803,Good,Limited,Full Access,5G,No Access
804,Good,Limited,Full Access,5G,No Access
805,Good,Moderate,Full Access,3G,Full Access
806,Fair,High,Partial Access,4G,Full Access
807,Fair,High,Full Access,3G,Full Access
808,Poor,High,Partial Access,5G,Limited Access
809,Good,High,No Access,5G,Limited Access
810,Excellent,Moderate,Partial Access,2G,Limited Access
811,Excellent,Limited,Partial Access,3G,Limited Access
812,Good,Moderate,Full Access,3G,No Access
813,Good,Limited,Full Access,3G,Full Access
814,Fair,Limited,No Access,4G,Full Access
815,Good,Limited,No Access,3G,No Access
816,Excellent,Limited,Partial Access,2G,Full Access
817,Poor,Limited,No Access,3G,Full Access
818,Fair,Limited,No Access,2G,Limited Access
819,Excellent,Limited,Partial Access,4G,Full Access
820,Poor,High,No Access,4G,Full Access
821,Poor,High,No Access,4G,No Access
822,Excellent,Moderate,Partial Access,3G,Limited Access
823,Excellent,High,Partial Access,3G,Full Access
824,Fair,Moderate,Partial Access,3G,Full Access
825,Fair,Limited,Full Access,3G,Limited Access
826,Poor,High,No Access,2G,No Access
827,Poor,Moderate,Partial Access,4G,Limited Access
828,Excellent,High,Full Access,2G,Full Access
829,Poor,High,Partial Access,2G,No Access
830,Fair,Moderate,Full Access,4G,Limited Access
831,Poor,High,Full Access,2G,Limited Access
832,Excellent,High,Full Access,4G,Limited Access
833,Poor,High,No Access,2G,No Access
834,Excellent,High,Full Access,5G,No Access
835,Excellent,High,No Access,5G,Limited Access
836,Fair,Limited,No Access,3G,No Access
837,Fair,High,Full Access,3G,No Access
838,Fair,Limited,No Access,2G,Full Access
839,Good,Limited,Partial Access,2G,No Access
840,Good,High,No Access,2G,Full Access
841,Poor,Limited,Full Access,5G,No Access
842,Poor,Moderate,Partial Access,2G,No Access
843,Poor,Moderate,Full Access,4G,Limited Access
844,Fair,Limited,Partial Access,2G,Full Access
845,Excellent,Moderate,Partial Access,2G,No Access
846,Excellent,High,No Access,2G,No Access
847,Excellent,Moderate,Partial Access,3G,Limited Access
848,Poor,Limited,Full Access,2G,No Access
849,Good,Limited,Full Access,2G,Full Access
850,Poor,High,No Access,3G,Full Access
851,Poor,High,Partial Access,3G,No Access
852,Excellent,Limited,Partial Access,2G,No Access
853,Good,Moderate,No Access,3G,Full Access
854,Good,Limited,Full Access,5G,Full Access
855,Fair,High,Partial Access,2G,Limited Access
856,Good,Moderate,Partial Access,5G,Limited Access
857,Excellent,Limited,Full Access,2G,Limited Access
858,Excellent,High,Partial Access,3G,Limited Access
859,Excellent,Moderate,Partial Access,3G,No Access
860,Poor,Moderate,No Access,5G,Limited Access
861,Poor,High,Partial Access,4G,Full Access
862,Good,Moderate,No Access,5G,Full Access
863,Fair,High,Full Access,2G,Full Access
864,Good,Moderate,Full Access,3G,No Access
865,Excellent,Limited,No Access,5G,Limited Access
866,Excellent,Moderate,No Access,2G,Limited Access
867,Good,Limited,Full Access,5G,No Access
868,Excellent,Moderate,No Access,3G,No Access
869,Poor,High,No Access,2G,Limited Access
870,Fair,High,Full Access,5G,No Access
871,Good,Limited,Partial Access,3G,No Access
872,Good,Limited,Full Access,4G,Limited Access
873,Good,Moderate,Full Access,4G,No Access
874,Good,High,No Access,5G,Limited Access
875,Good,Moderate,No Access,5G,No Access
876,Excellent,High,No Access,2G,No Access
877,Good,Limited,Full Access,2G,Limited Access
878,Poor,High,Full Access,2G,Full Access
879,Excellent,High,Full Access,3G,Full Access
880,Poor,High,Full Access,3G,No Access
881,Good,Moderate,Partial Access,2G,Full Access
882,Poor,Limited,No Access,3G,Limited Access
883,Poor,Moderate,No Access,5G,Limited Access
884,Good,High,Partial Access,2G,Full Access
885,Poor,High,No Access,4G,No Access
886,Poor,Moderate,Full Access,4G,No Access
887,Good,Limited,Partial Access,5G,No Access
888,Good,Moderate,Full Access,2G,Limited Access
889,Good,High,Partial Access,2G,No Access
890,Good,Limited,Partial Access,5G,Limited Access
891,Excellent,Moderate,Partial Access,2G,Full Access
892,Fair,Limited,No Access,4G,Full Access
893,Good,High,Partial Access,3G,No Access
894,Fair,Limited,Full Access,3G,Limited Access
895,Poor,Limited,Partial Access,4G,Limited Access
896,Excellent,Moderate,No Access,3G,Limited Access
897,Good,Limited,No Access,2G,Limited Access
898,Fair,Moderate,Partial Access,3G,Full Access
899,Excellent,High,No Access,5G,Full Access
900,Fair,Limited,No Access,3G,Full Access
901,Poor,Moderate,Partial Access,2G,Full Access
902,Excellent,Moderate,No Access,4G,Limited Access
903,Excellent,Limited,Full Access,5G,Full Access
904,Excellent,Limited,Full Access,2G,No Access
905,Excellent,Moderate,Partial Access,4G,Full Access
906,Excellent,High,Full Access,4G,Full Access
907,Good,High,Partial Access,2G,Limited Access
908,Fair,Moderate,Full Access,2G,Full Access
909,Good,Limited,Partial Access,4G,No Access
910,Good,Limited,No Access,4G,No Access
911,Fair,High,No Access,3G,No Access
912,Poor,Limited,Partial Access,2G,No Access
913,Fair,Moderate,Full Access,2G,Full Access
914,Poor,Limited,No Access,2G,No Access
915,Good,Limited,No Access,2G,Full Access
916,Excellent,Limited,Full Access,5G,Full Access
917,Excellent,Limited,Partial Access,5G,No Access
918,Poor,High,Full Access,2G,No Access
919,Excellent,High,Partial Access,4G,No Access
920,Good,Limited,No Access,2G,Limited Access
921,Poor,Moderate,Full Access,3G,No Access
922,Poor,Limited,No Access,2G,Limited Access
923,Fair,High,Full Access,2G,Limited Access
924,Good,Moderate,Full Access,5G,No Access
925,Good,Moderate,No Access,4G,No Access
926,Poor,Moderate,Full Access,3G,Limited Access
927,Excellent,Limited,No Access,4G,Limited Access
928,Excellent,Moderate,Full Access,3G,Limited Access
929,Fair,High,Full Access,4G,No Access
930,Excellent,Moderate,Partial Access,4G,Full Access
931,Fair,High,Partial Access,3G,No Access
932,Good,Moderate,Partial Access,3G,Full Access
933,Poor,Limited,Partial Access,5G,Full Access
934,Excellent,Limited,Full Access,4G,Full Access
935,Poor,Limited,Partial Access,3G,Full Access
936,Poor,Limited,Full Access,5G,Limited Access
937,Fair,Limited,No Access,4G,No Access
938,Fair,Moderate,Partial Access,4G,Full Access
939,Excellent,High,No Access,4G,Full Access
940,Poor,Moderate,No Access,2G,Full Access
941,Excellent,High,Full Access,3G,No Access
942,Excellent,Moderate,Full Access,3G,Full Access
943,Fair,Moderate,Partial Access,5G,Limited Access
944,Fair,Limited,No Access,4G,No Access
945,Fair,Moderate,Full Access,3G,No Access
946,Good,Moderate,Partial Access,4G,Limited Access
947,Fair,Moderate,Full Access,2G,Full Access
948,Excellent,Limited,Partial Access,4G,Limited Access
949,Poor,Limited,Full Access,4G,Full Access
950,Poor,Moderate,Full Access,5G,Full Access
951,Excellent,Limited,Partial Access,2G,No Access
952,Excellent,Moderate,No Access,4G,Full Access
953,Fair,High,Partial Access,5G,Limited Access
954,Excellent,High,No Access,4G,No Access
955,Good,Limited,Partial Access,4G,No Access
956,Good,Limited,No Access,4G,No Access
957,Poor,Moderate,Full Access,5G,Limited Access
958,Fair,Moderate,No Access,3G,Full Access
959,Fair,High,No Access,3G,No Access
960,Excellent,High,Full Access,2G,No Access
961,Poor,Limited,Full Access,2G,No Access
962,Fair,High,Full Access,5G,No Access
963,Good,Limited,No Access,2G,Full Access
964,Good,Moderate,No Access,3G,Limited Access
965,Fair,High,No Access,5G,Full Access
966,Excellent,Limited,No Access,3G,Full Access
967,Poor,Limited,Partial Access,4G,Full Access
968,Poor,Limited,Full Access,3G,Full Access
969,Fair,Limited,No Access,5G,Full Access
970,Fair,Limited,No Access,3G,No Access
971,Fair,Limited,No Access,2G,Full Access
972,Fair,High,Partial Access,2G,Limited Access
973,Poor,Limited,No Access,4G,Limited Access
974,Poor,Moderate,Full Access,2G,Limited Access
975,Fair,Limited,Partial Access,5G,Full Access
976,Good,Moderate,Partial Access,2G,Full Access
977,Fair,Limited,No Access,5G,Full Access
978,Poor,Limited,Full Access,3G,Limited Access
979,Good,Moderate,No Access,3G,Full Access
980,Excellent,High,No Access,3G,Limited Access
981,Excellent,High,Partial Access,2G,Limited Access
982,Good,Moderate,Full Access,5G,Full Access
983,Poor,High,Partial Access,2G,Full Access
984,Excellent,Moderate,Full Access,2G,No Access
985,Poor,High,Partial Access,4G,Limited Access
986,Good,Moderate,Partial Access,5G,Full Access
987,Fair,High,Partial Access,5G,Limited Access
988,Fair,Moderate,No Access,4G,No Access
989,Poor,Moderate,No Access,3G,Full Access
990,Poor,High,No Access,2G,Limited Access
991,Good,Moderate,Partial Access,2G,Full Access
992,Excellent,Limited,Partial Access,4G,No Access
993,Good,High,No Access,5G,Limited Access
994,Fair,High,No Access,2G,No Access
995,Good,Moderate,No Access,4G,Full Access
996,Excellent,High,Full Access,4G,No Access
997,Fair,Moderate,No Access,5G,No Access
998,Excellent,Limited,No Access,2G,Limited Access
